location,lat,lon,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
"32 Willow Lane, London",51.4901061,0.0591098,Waste transfer (household and commercial),Inert,22550,19146,15090.24,-4055.76,83456,L M D Waste Management Ltd,Only one waste type managed (90%)
"Penhall Road Recycling Centre, London",51.4903768,0.0193142,Waste transfer (household and commercial),HIC,24999,10310.86,4303.44,-6007.42,401583,Recycled Material Supplies Limited,Only one waste type managed (90%)
"Heathrow Depot, London",51.4907578,-0.3990284,"Transfer and treatment (construction, demolition and excavation)",Inert,300000,211732.84,88496.39,-123236.45,VP3630WE,FM Conway Ltd ,Only one waste type managed (90%)
"Murphy's Wharf EPR/DP3490EU, London",51.4914992,0.0238812,Fuel preparation and MBT,Inert,649999,261983,65495.75,-196487.25,HP3732WG,Day Group Limited,Multiple waste types managed
"Quattro - Brentford, London",51.491621,-0.3022237,"Transfer and treatment (construction, demolition and excavation)",Inert,912000,87452.5,84254.68,-3197.82,80724,Quattro ( U K ) Ltd,Only one waste type managed (90%)
"Assiciated Reclaimed Oils Bulking, Treatment and Transfer Facility EPR/WP3930UD, London",51.4918533,0.0077143,Materials recycling and sorting,Haz,185640,9179.01,8112.2,-1066.81,WP3930UD,Associated Reclaimed Oils Ltd,Only one waste type managed (90%)
"Roll On Off Services Limited, London",51.49204,-0.0399116,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,8957.48,5955.39,-3002.09,401396,Roll On Off Services Limited,Only one waste type managed (90%)
"Angerstein Wharf, London",51.4929706,0.0201944,"Transfer and treatment (construction, demolition and excavation)",Inert,83000,13062.18,7272.83,-5789.35,400933,Aggregate Industries U K Ltd,Only one waste type managed (90%)
"Westminster Waste Ltd, London",51.4938166,0.0324272,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,56214.22,45394.24,-10819.98,103772,Westminster Waste Ltd,Only one waste type managed (90%)
"Airlinks Golf Club, London",51.4943331,-0.3994911,Other - inert,Inert,248388,72981.5,182493.88,109512.38,400090,Oakland Golf And Leisure Limited,Only one waste type managed (90%)
"Rainham Landfill EPR/EP3136GK, London",51.4955473,0.1914236,Disposal (inert),Inert,1700000,1216138.77,857940.64,-358198.13,EP3136GK,Veolia ES Landfill Limited,Multiple waste types managed
"80 River Road, London",51.4964037,0.0104543,"Transfer and treatment (construction, demolition and excavation)",Inert,25000,22146.5,21012.6,-1133.9,100076,Clearun Recycling Limited,Only one waste type managed (90%)
